ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#0	NA	0	0	0	0	0	0	0	0	1
ASM#1	NA	0	0	0	0	0	0	0	0	1
ASM#2	MJ_ENSG00000187961-896932-897009_6.60E-1	1	0	0	0	0	0	0	0	0.66
ASM#3	NA	0	0	0	0	0	0	0	0	1
ASM#4	NA	0	0	0	0	0	0	0	0	1
ASM#5	NA	0	0	0	0	0	0	0	0	1
ASM#6	NA	0	0	0	0	0	0	0	0	1
ASM#7	NA	0	0	0	0	0	0	0	0	1
ASM#8	NA	0	0	0	0	0	0	0	0	1
ASM#9	NA	0	0	0	0	0	0	0	0	1
ASM#10	NA	0	0	0	0	0	0	0	0	1
ASM#11	NA	0	0	0	0	0	0	0	0	1
ASM#12	NA	0	0	0	0	0	0	0	0	1
ASM#13	NA	0	0	0	0	0	0	0	0	1
ASM#14	NA	0	0	0	0	0	0	0	0	1
ASM#15	NA	0	0	0	0	0	0	0	0	1
ASM#16	NA	0	0	0	0	0	0	0	0	1
ASM#17	NA	0	0	0	0	0	0	0	0	1
ASM#18	NA	0	0	0	0	0	0	0	0	1
ASM#19	NA	0	0	0	0	0	0	0	0	1
ASM#20	NA	0	0	0	0	0	0	0	0	1
ASM#21	NA	0	0	0	0	0	0	0	0	1
ASM#22	NA	0	0	0	0	0	0	0	0	1
ASM#23	NA	0	0	0	0	0	0	0	0	1
ASM#24	NA	0	0	0	0	0	0	0	0	1
ASM#25	NA	0	0	0	0	0	0	0	0	1
ASM#26	NA	0	0	0	0	0	0	0	0	1
ASM#27	NA	0	0	0	0	0	0	0	0	1
ASM#28	NA	0	0	0	0	0	0	0	0	1
ASM#29	NA	0	0	0	0	0	0	0	0	1
ASM#30	NA	0	0	0	0	0	0	0	0	1
ASM#31	NA	0	0	0	0	0	0	0	0	1
ASM#32	NA	0	0	0	0	0	0	0	0	1
ASM#33	NA	0	0	0	0	0	0	0	0	1
ASM#34	NA	0	0	0	0	0	0	0	0	1
ASM#35	NA	0	0	0	0	0	0	0	0	1
ASM#36	NA	0	0	0	0	0	0	0	0	1
ASM#37	NA	0	0	0	0	0	0	0	0	1
ASM#38	MJ_ENSG00000116151-2310666-2316417_6.75E-1,MJ_ENSG00000116151-2305996-2316417_6.75E-1	2	0	0	0	0	0	0	0	0.675
ASM#39	NA	0	0	0	0	0	0	0	0	1
ASM#40	NA	0	0	0	0	0	0	0	0	1
ASM#41	NA	0	0	0	0	0	0	0	0	1
ASM#42	NA	0	0	0	0	0	0	0	0	1
ASM#43	NA	0	0	0	0	0	0	0	0	1
ASM#44	MJ_ENSG00000162591-3415830-3416152_9.59E-1,MJ_ENSG00000162591-3413347-3413797_7.31E-1,MJ_ENSG00000162591-3415063-3416152_9.99E-1,MJ_ENSG00000162591-3415063-3416152_9.59E-1,MJ_ENSG00000162591-3415063-3415262_9.99E-1,MJ_ENSG00000162591-3413683-3413797_7.31E-1	6	0	0	0	0	0	0	0	0.731
ASM#45	NA	0	0	0	0	0	0	0	0	1
ASM#46	NA	0	0	0	0	0	0	0	0	1
ASM#47	NA	0	0	0	0	0	0	0	0	1
ASM#48	NA	0	0	0	0	0	0	0	0	1
ASM#49	NA	0	0	0	0	0	0	0	0	1
ASM#50	NA	0	0	0	0	0	0	0	0	1
ASM#51	NA	0	0	0	0	0	0	0	0	1
ASM#52	NA	0	0	0	0	0	0	0	0	1
ASM#53	NA	0	0	0	0	0	0	0	0	1
ASM#54	NA	0	0	0	0	0	0	0	0	1
ASM#55	NA	0	0	0	0	0	0	0	0	1
ASM#56	NA	0	0	0	0	0	0	0	0	1
ASM#57	MJ_ENSG00000158286-6272963-6273126_8.89E-1,MJ_ENSG00000158286-6272793-6273126_8.89E-1	2	0	0	0	0	0	0	0	0.889
ASM#58	NA	0	0	0	0	0	0	0	0	1
ASM#59	NA	0	0	0	0	0	0	0	0	1
ASM#60	NA	0	0	0	0	0	0	0	0	1
ASM#61	NA	0	0	0	0	0	0	0	0	1
ASM#62	NA	0	0	0	0	0	0	0	0	1
ASM#63	NA	0	0	0	0	0	0	0	0	1
ASM#64	MJ_ENSG00000171680-6537718-6556553_9.95E-1,MJ_ENSG00000171680-6537718-6550505_2.73E-2,MJ_ENSG00000171680-6537718-6551697_6.94E-1,MJ_ENSG00000171680-6537718-6545384_1.42E-16,MJ_ENSG00000171680-6537718-6545896_3.45E-14	5	0	0	0	2	0	0	0	1.42e-16
ASM#65	NA	0	0	0	0	0	0	0	0	1
ASM#66	NA	0	0	0	0	0	0	0	0	1
ASM#67	NA	0	0	0	0	0	0	0	0	1
ASM#68	NA	0	0	0	0	0	0	0	0	1
ASM#69	NA	0	0	0	0	0	0	0	0	1
ASM#70	NA	0	0	0	0	0	0	0	0	1
ASM#71	NA	0	0	0	0	0	0	0	0	1
ASM#72	NA	0	0	0	0	0	0	0	0	1
ASM#73	NA	0	0	0	0	0	0	0	0	1
ASM#74	NA	0	0	0	0	0	0	0	0	1
ASM#75	NA	0	0	0	0	0	0	0	0	1
ASM#76	NA	0	0	0	0	0	0	0	0	1
ASM#77	NA	0	0	0	0	0	0	0	0	1
ASM#78	NA	0	0	0	0	0	0	0	0	1
ASM#79	NA	0	0	0	0	0	0	0	0	1
ASM#80	NA	0	0	0	0	0	0	0	0	1
ASM#81	NA	0	0	0	0	0	0	0	0	1
ASM#82	NA	0	0	0	0	0	0	0	0	1
ASM#83	NA	0	0	0	0	0	0	0	0	1
ASM#84	NA	0	0	0	0	0	0	0	0	1
ASM#85	NA	0	0	0	0	0	0	0	0	1
ASM#86	NA	0	0	0	0	0	0	0	0	1
ASM#87	NA	0	0	0	0	0	0	0	0	1
ASM#88	NA	0	0	0	0	0	0	0	0	1
ASM#89	NA	0	0	0	0	0	0	0	0	1
ASM#90	NA	0	0	0	0	0	0	0	0	1
ASM#91	NA	0	0	0	0	0	0	0	0	1
ASM#92	NA	0	0	0	0	0	0	0	0	1
ASM#93	NA	0	0	0	0	0	0	0	0	1
ASM#94	NA	0	0	0	0	0	0	0	0	1
ASM#95	NA	0	0	0	0	0	0	0	0	1
ASM#96	NA	0	0	0	0	0	0	0	0	1
ASM#97	NA	0	0	0	0	0	0	0	0	1
ASM#98	NA	0	0	0	0	0	0	0	0	1
ASM#99	NA	0	0	0	0	0	0	0	0	1
ASM#100	NA	0	0	0	0	0	0	0	0	1
ASM#101	NA	0	0	0	0	0	0	0	0	1
ASM#102	NA	0	0	0	0	0	0	0	0	1
ASM#103	NA	0	0	0	0	0	0	0	0	1
ASM#104	NA	0	0	0	0	0	0	0	0	1
ASM#105	NA	0	0	0	0	0	0	0	0	1
ASM#106	NA	0	0	0	0	0	0	0	0	1
ASM#107	NA	0	0	0	0	0	0	0	0	1
ASM#108	NA	0	0	0	0	0	0	0	0	1
ASM#109	NA	0	0	0	0	0	0	0	0	1
ASM#110	NA	0	0	0	0	0	0	0	0	1
ASM#111	NA	0	0	0	0	0	0	0	0	1
ASM#112	NA	0	0	0	0	0	0	0	0	1
ASM#113	NA	0	0	0	0	0	0	0	0	1
ASM#114	NA	0	0	0	0	0	0	0	0	1
ASM#115	NA	0	0	0	0	0	0	0	0	1
ASM#116	NA	0	0	0	0	0	0	0	0	1
ASM#117	NA	0	0	0	0	0	0	0	0	1
ASM#118	NA	0	0	0	0	0	0	0	0	1
ASM#119	NA	0	0	0	0	0	0	0	0	1
ASM#120	NA	0	0	0	0	0	0	0	0	1
ASM#121	NA	0	0	0	0	0	0	0	0	1
ASM#122	NA	0	0	0	0	0	0	0	0	1
ASM#123	NA	0	0	0	0	0	0	0	0	1
